,EPL,YGPL,NPML,IMXL,Nation
2013-08-08,0.00901424772299354,0.23758743746847602,0.0017255428857042645,0.006459294194419538,0.012871520801317392
2013-08-09,0.010659187080174212,0.29604745034851176,0.0013922985627804016,0.005364831151297017,0.014955716763655223
2013-08-10,0.010524390992362954,0.30812339100937713,0.0013861165889971453,0.008881376891456719,0.015990748922965717
2013-08-11,0.010978369118149166,0.3093123394540554,0.0016808312940492839,0.011287596957818457,0.016859854925881105
2013-08-12,0.010438090782296917,0.35123045642588097,0.0015337805602731263,0.0066887766080516355,0.01668039332871714
2013-08-13,0.009036343574490933,0.4501818889946775,0.0013936933445116366,0.0062051112199472775,0.018534726844802674
2013-08-14,0.008262448062005504,0.49306582215198436,0.0016957050812080891,0.0036083029568618175,0.01882781063987451
2013-08-15,0.009835891174584334,0.382712088400641,0.001693723867680627,0.011966751779350991,0.018444411209533232
2013-08-16,0.009576224783485448,0.3753652081664676,0.0026588731383256105,0.008296492511236306,0.017567699496485435
2013-08-17,0.009774095206865474,0.3664365423686216,0.0018764367908062352,0.008591061754839487,0.017275605131729717
2013-08-18,0.010573581709810374,0.31120226331033984,0.0016309964222917068,0.006564388676982284,0.015655304710410663
2013-08-19,0.008490472303179035,0.33980713582088984,0.001953937038364784,0.007794232580406925,0.015753929293605938
2013-08-20,0.00820346574314647,0.2626293702158059,0.002964791618607494,0.013683319623572141,0.015077256054950559
2013-08-21,0.007437550622119437,0.3239407063903753,0.0027393753399380925,0.011289769218147436,0.015778596899654506
2013-08-22,0.005728618104882845,0.38664458460015894,0.002271981441560256,0.0077285537344911155,0.015724216379795097
2013-08-23,0.008454698082701499,0.4301914402122062,0.0023802420102964285,0.009153020822262173,0.01861613957835951
2013-08-24,0.013499087691148126,0.4462288365240038,0.0034132040541050247,0.011269029902390735,0.02231847098914911
2013-08-25,0.014091216462800064,0.2482394812726011,0.003870207875280707,0.011364500627762454,0.01735925825370495
2013-08-26,0.0123836160107802,0.3370438413666981,0.00486769917499186,0.007595328891627426,0.018368982939330876
2013-08-27,0.010588088919947293,0.2940363296555027,0.005490331060231778,0.014395097142498647,0.01796636876434336
2013-08-28,0.013257852622128875,0.28943677011952285,0.005775674200622536,0.014086324441506074,0.019183278731345677
2013-08-29,0.013989243904602131,0.4334608984076831,0.0036102763056791516,0.011272675290494647,0.02226923668854174
2013-08-30,0.00963970768137862,0.3271655469562604,0.006409155187790438,0.014779509822151933,0.018730351972296312
2013-08-31,0.012106288048693688,0.339606625234967,0.005711882070096243,0.015035617199584652,0.02016844308942833
2013-09-01,0.012621158256956495,0.3175211625590058,0.005994770617991555,0.014581061030416167,0.019799770266636443
2013-09-02,0.013686175385000082,0.27582685441694516,0.006775197652797465,0.014397111442493742,0.019365560296404568
2013-09-03,0.013837437749726747,0.3895779225622115,0.006397043549806946,0.02324804606152214,0.024390651220875748
2013-09-04,0.014895364598238712,0.28143216790126957,0.00710058931150364,0.015843982923380188,0.020529167615712204
2013-09-05,0.016516953806728286,0.19047805342039925,0.007216410620181778,0.017123518655837052,0.01917145096406061
2013-09-06,0.0202164632482564,0.22433498099042576,0.007685160956439824,0.018242728473177164,0.022315662385116605
2013-09-07,0.01915250325006492,0.25328599293829407,0.00823947868231395,0.01643423864023499,0.022326027247740847
