,EPL,YGPL,NPML,IMXL,Nation
2018-02-22,0.005272067197783976,0.04439086904456112,0.0,0.0,0.0038731564050872255
2018-02-23,0.005085755733439712,0.031900205351871255,0.0,0.0,0.003431460963087287
2018-02-24,0.004693130643691472,0.03956940757825677,0.0,0.0,0.0034493216441045097
2018-02-25,0.00834902362323847,0.04433391698763181,0.0,0.0,0.005409003348841675
2018-02-26,0.005662650761078962,0.03221856120882929,0.0,0.0,0.003728598168351584
2018-02-27,0.007570850472300514,0.034646042843261345,0.0,0.0,0.004749800700948059
2018-02-28,0.006767228028381703,0.038374985828696875,0.0,0.0,0.004452332893831026
2018-03-01,0.00453069762088806,0.031695884812972405,0.0,0.0,0.0031484174413884945
2018-03-02,0.006899415151703568,0.028357242886805113,0.0,0.0,0.004238795824078016
2018-03-03,0.006638645588826056,0.0238390569645624,0.0,0.0,0.003982400972309905
2018-03-04,0.0072438816380077,0.028523073250373097,0.0,0.0,0.004415540609422104
2018-03-05,0.004594383846952073,0.03648761096600532,0.0,0.0,0.0033139716059412804
2018-03-06,0.0053788909096243705,0.03292208574444404,0.0,0.0,0.003606449032079692
2018-03-07,0.007992872336497378,0.06008406426474757,0.0,0.0,0.0056706202325214235
2018-03-08,0.007300039341254421,0.04751554254085001,0.0,0.0,0.004973662577037009
2018-03-09,0.012487030538592623,0.048455040972760585,0.0,0.0,0.007591622500264463
2018-03-10,0.009608601522646584,0.03549068299651619,0.0,0.0,0.005791559408256766
2018-03-11,0.01048174317947939,0.039816073287504694,0.0,0.0,0.006348552224700457
2018-03-12,0.01111988572573588,0.03663493670546662,0.0,0.0,0.006578624877391804
2018-03-13,0.01054030764036945,0.039041969029146625,0.0,0.0,0.006356210097591599
2018-03-14,0.010470362851206453,0.046325633638067194,0.0,0.0,0.006524541680570577
2018-03-15,0.010564355733702138,0.045311018450379936,0.0,0.0,0.006543189332932295
2018-03-16,0.006334170836698313,0.032723617921698006,0.0,0.0,0.004078226506645148
2018-03-17,0.011734384870619808,0.0316213103703712,0.0,0.0,0.006745740752168391
2018-03-18,0.012953720743710402,0.03199698725242638,0.0,0.0,0.007365480640174314
2018-03-19,0.008046774322078967,0.06787796408423359,0.0,0.0,0.005915073460597968
2018-03-20,0.009262715859391535,0.04939772736633668,0.0,0.0,0.006006866342346864
2018-03-21,0.015456599976313337,0.0517719959857667,0.0,0.0,0.009167974913158194
2018-03-22,0.017887832527658527,0.04779773032261525,0.0,0.0,0.010271849973366986
2018-03-23,0.01578581365475357,0.035749436459065045,0.0,0.0,0.00888529557363068
2018-03-24,0.01973186927028392,0.04629661311626972,0.0,0.0,0.011151349210993339
2018-03-25,0.021295279305621303,0.05990752154781174,0.0,0.0,0.0123123926704032
2018-03-26,0.021469390578845116,0.052877062576211664,0.0,0.0,0.01220317579448408
2018-03-27,0.015587730014965658,0.05941233222286562,0.0,0.0,0.009446730203474493
2018-03-28,0.02095165226716487,0.07079325101555334,0.0,0.0,0.012444506067076769
2018-03-29,0.016378548677678396,0.060979782413992066,0.0,0.0,0.009885617855970044
2018-03-30,0.015083661206680492,0.05108864332206871,0.0,0.0,0.0089625600608259
2018-03-31,0.030916481619729118,0.053391830889069535,0.0,0.0,0.0169378894408506
2018-04-01,0.03443923814109227,0.06147363808395572,0.0,0.0,0.018923630685302444
2018-04-02,0.02497292311347067,0.05115718970447915,0.0,0.0,0.013905755792265741
2018-04-03,0.025936175790384198,0.04740267419888375,0.0,0.0,0.014282270963355463
2018-04-04,0.009650476808411397,0.040546883786020976,0.0,0.0,0.005953596728159429
2018-04-05,0.014954410256659265,0.0639613815650222,0.0,0.0,0.009257244483033113
2018-04-06,0.016881353244125173,0.03411118144434847,0.0,0.0,0.00938697227087298
2018-04-07,0.02415143407174435,0.06368811526646985,0.0,0.0,0.01384501587170079
2018-04-08,0.016658945452281547,0.05802546062998948,0.0,0.0,0.00994326893749871
2018-04-09,0.015583065527221949,0.04447850314275617,0.0,0.0,0.009027610277498902
2018-04-10,0.022743893470135283,0.04175067857037747,0.0,0.0,0.012529468706005464
2018-04-11,0.024806755810959827,0.03266288080475538,0.0,0.0,0.013306569464418808
2018-04-12,0.01903184871631833,0.030948828020793153,0.0,0.0,0.010373233557390713
2018-04-13,0.028675832981629373,0.036923186519954264,0.0,0.0,0.015358699229688175
2018-04-14,0.02503125921379312,0.06323103687646688,0.0,0.0,0.014271873921010507
2018-04-15,0.03437319546255348,0.081059850212408,0.0,0.0,0.019437264646040574
2018-04-16,0.03178405816518117,0.09053714333847998,0.0,0.0,0.018408075047299702
2018-04-17,0.024968994364768893,0.07612695848982368,0.0,0.0,0.014600675739965187
2018-04-18,0.02363600337756491,0.06234671349476069,0.0,0.0,0.013550037763994462
2018-04-19,0.022921095621483797,0.04581589419801986,0.0,0.0,0.012731466167045373
2018-04-20,0.016217716850445405,0.051291369647296275,0.0,0.0,0.009534861819220104
2018-04-21,0.020662456638835473,0.04566309655900492,0.0,0.0,0.011598646961648269
2018-04-22,0.037513393071018857,0.04986744548783851,0.0,0.0,0.0201357492824505
2018-04-23,0.01506003210090555,0.07076108006375569,0.0,0.0,0.009499792896290802
2018-04-24,0.024443402721644233,0.07285528226356129,0.0,0.0,0.0142467484357449
2018-04-25,0.04111823193267531,0.062437208936272144,0.0,0.0,0.02228775858506155
2018-04-26,0.03896375662561594,0.09174074676536932,0.0,0.0,0.02202908483945033
2018-04-27,0.03897174900433532,0.08306135677533659,0.0,0.0,0.02179084463146511
2018-04-28,0.030463590477556236,0.06422140131203166,0.0,0.0,0.017013840433462605
2018-04-29,0.03275341805961116,0.07292956708779395,0.0,0.0,0.018401015735665514
2018-04-30,0.035490165810299436,0.06723450913438944,0.0,0.0,0.019609519244579387
2018-05-01,0.040952342595712087,0.07579775419733235,0.0,0.0,0.02257775045832286
2018-05-02,0.02936358687397285,0.09901118636924461,0.0,0.0,0.017435161569213053
2018-05-03,0.04664075580625419,0.09796551244963479,0.0,0.0,0.026038712578838583
2018-05-04,0.024329432740819404,0.06579929210106764,0.0,0.0,0.013992875919049217
2018-05-05,0.021363037548109167,0.053826360138984126,0.0,0.0,0.012176529298798396
2018-05-06,0.027711952740424588,0.061133340863524864,0.0,0.0,0.015552768318079403
2018-05-07,0.026115751666384975,0.08458557323654436,0.0,0.0,0.015409738183721098
2018-05-08,0.026223655849882566,0.08041471068712418,0.0,0.0,0.01534724885214365
2018-05-09,0.02444280535316579,0.09913605582867559,0.0,0.0,0.014979921868057161
2018-05-10,0.03146687211969724,0.06696035635728845,0.0,0.0,0.017591583249785908
2018-05-11,0.04386932855467818,0.07016839622926015,0.0,0.0,0.02387814567206562
2018-05-12,0.047967951692869784,0.11884630135116697,0.0,0.0,0.027284624534134234
2018-05-13,0.035074766304919784,0.10287157088214516,0.0,0.0,0.020396557340811184
2018-05-14,0.0215931866277992,0.058885039747438715,0.0,0.0,0.012432708951805831
2018-05-15,0.01513451058900831,0.05978402381646561,0.0,0.0,0.00923064750688667
2018-05-16,0.017133587808504887,0.06610595990077235,0.0,0.0,0.010405948621183617
2018-05-17,0.029626346321224382,0.07353028778425623,0.0,0.0,0.016855304179697835
2018-05-18,0.029578984639374188,0.07901879723033615,0.0,0.0,0.01698481856146295
2018-05-19,0.025350223530493703,0.08217739722918527,0.0,0.0,0.014960023357274201
2018-05-20,0.01960276157259633,0.07723574683488794,0.0,0.0,0.011950321482929148
2018-05-21,0.02556926326474114,0.08235805720053273,0.0,0.0,0.015074511113885122
2018-05-22,0.028642336841207355,0.1331109870831484,0.0,0.0,0.01802647443227958
2018-05-23,0.03794339695070509,0.09026361280055145,0.0,0.0,0.021478025040181446
